NTDLL dump: 
NtWaitForMultipleObjects32 address: 0x775ec490
NtWaitForSingleObject address: 0x775ec330
NtWaitForWorkViaWorkerFactory address: 0x775edde0
NtWaitHighEventPair address: 0x775eddf0
NtWaitLowEventPair address: 0x775ede00
NtWorkerFactoryWorkerReady address: 0x775ec300
NtWow64AllocateVirtualMemory64 address: 0x775edef0
NtWow64CallFunction64 address: 0x775edf30
NtWow64CsrAllocateCaptureBuffer address: 0x775ede40
NtWow64CsrAllocateMessagePointer address: 0x775ede60
NtWow64CsrCaptureMessageBuffer address: 0x775ede70
NtWow64CsrCaptureMessageString address: 0x775ede80
NtWow64CsrClientCallServer address: 0x775ede30
NtWow64CsrClientConnectToServer address: 0x775ede10
NtWow64CsrFreeCaptureBuffer address: 0x775ede50
NtWow64CsrGetProcessId address: 0x775ede90
NtWow64CsrIdentifyAlertableThread address: 0x775ede20
NtWow64CsrVerifyRegion address: 0x775edea0
NtWow64DebuggerCall address: 0x775edeb0
NtWow64GetCurrentProcessorNumberEx address: 0x775edec0
NtWow64GetNativeSystemInformation address: 0x775eded0
NtWow64QueryInformationProcess64 address: 0x775edee0
NtWow64QueryVirtualMemory64 address: 0x775edf20
